"","Wynik_funkcji_fitness","Indeks_wyniku","Czas","Szansa_na_mutacje","Populacja","Elityzm"
"352",91,23,9.10100000000011,0.35,160,1
"630",90,57,9.10399999999936,0.7,150,1
"869",89,1,9.11899999999969,1,140,0
"114",91,10,9.11900000000014,0.05,170,1
"591",90,54,9.14400000000023,0.65,150,0
"115",91,12,9.15300000000002,0.05,170,0
"154",91,9,9.16000000000008,0.1,170,1
"353",91,73,9.18900000000031,0.35,160,0
"631",89,9,9.22900000000027,0.7,150,0
"155",91,14,9.26199999999972,0.1,170,0
"392",90,10,9.26200000000017,0.4,160,1
"393",91,67,9.26400000000012,0.4,160,0
"670",90,4,9.27099999999973,0.75,150,1
"710",90,71,9.3119999999999,0.8,150,1
"671",90,14,9.31400000000031,0.75,150,0
"432",91,99,9.31700000000001,0.45,160,1
"78",90,6,9.33600000000001,0,190,1
"194",91,10,9.33699999999999,0.15,170,1
"472",91,24,9.35500000000002,0.5,160,1
"711",90,5,9.36200000000008,0.8,150,0
"433",90,7,9.38700000000017,0.45,160,0
"38",91,8,9.39600000000019,0,190,0
"274",91,9,9.39600000000019,0.25,170,1
"195",91,13,9.40100000000029,0.15,170,0
"234",91,14,9.41100000000006,0.2,170,1
"750",90,27,9.42299999999977,0.85,150,1
"37",90,6,9.44200000000001,0,190,1
"512",90,4,9.44799999999941,0.55,160,1
"473",90,3,9.45899999999983,0.5,160,0
"830",90,88,9.4980000000005,0.95,150,1
"79",91,10,9.5150000000001,0,190,0
"790",90,90,9.51599999999962,0.9,150,1
"751",90,44,9.52199999999993,0.85,150,0
"791",90,28,9.52299999999923,0.9,150,0
"275",91,13,9.54800000000023,0.25,170,0
"552",90,11,9.57200000000012,0.6,160,1
"314",91,14,9.58199999999988,0.3,170,1
"592",90,79,9.59500000000025,0.65,160,1
"513",90,15,9.59600000000046,0.55,160,0
"235",91,17,9.61000000000013,0.2,170,0
"553",91,99,9.61799999999948,0.6,160,0
"870",89,1,9.62100000000009,1,150,1
"116",91,9,9.62800000000016,0.05,180,1
"315",91,18,9.65900000000011,0.3,170,0
"831",90,30,9.66499999999996,0.95,150,0
"354",91,37,9.69399999999996,0.35,170,1
"355",91,94,9.70399999999972,0.35,170,0
"156",91,9,9.72700000000032,0.1,180,1
"871",90,1,9.7559999999994,1,150,0
"593",90,80,9.75600000000031,0.65,160,0
"632",91,15,9.75699999999961,0.7,160,1
"633",91,92,9.83899999999994,0.7,160,0
"712",91,8,9.84000000000015,0.8,160,1
"39",91,6,9.846,0,200,1
"434",91,35,9.85100000000011,0.45,170,1
"117",91,12,9.85799999999995,0.05,180,0
"395",91,99,9.85899999999992,0.4,170,0
"196",91,6,9.86599999999999,0.15,180,1
"672",90,35,9.86799999999948,0.75,160,1
"157",91,7,9.88099999999986,0.1,180,0
"40",91,5,9.91200000000003,0,200,0
"435",90,15,9.92200000000003,0.45,170,0
"80",91,4,9.923,0,200,1
"673",90,94,9.92600000000039,0.75,160,0
"752",90,30,9.96700000000055,0.85,160,1
"236",91,10,9.97400000000016,0.2,180,1
"197",91,6,10.0010000000002,0.15,180,0
"713",90,27,10.0039999999999,0.8,160,0
"474",90,7,10.0140000000001,0.5,170,1
"81",91,6,10.0340000000001,0,200,0
"514",91,90,10.0349999999999,0.55,170,1
"475",90,32,10.0499999999997,0.5,170,0
"792",89,4,10.0640000000003,0.9,160,1
"276",91,13,10.069,0.25,180,1
"515",90,5,10.0769999999993,0.55,170,0
"237",91,20,10.0889999999999,0.2,180,0
"753",89,21,10.0899999999992,0.85,160,0
"394",90,6,10.1219999999998,0.4,170,1
"316",91,20,10.1279999999997,0.3,180,1
"793",89,6,10.1599999999999,0.9,160,0
"277",91,18,10.1889999999999,0.25,180,0
"554",90,16,10.1930000000002,0.6,170,1
"356",91,19,10.203,0.35,180,1
"832",89,12,10.2060000000001,0.95,160,1
"555",90,17,10.2130000000006,0.6,170,0
"118",91,7,10.223,0.05,190,1
"594",90,72,10.232,0.65,170,1
"317",91,44,10.25,0.3,180,0
"872",89,15,10.2820000000002,1,160,1
"119",91,7,10.3030000000001,0.05,190,0
"634",90,21,10.3070000000007,0.7,170,1
"357",91,38,10.3119999999999,0.35,180,0
"595",91,85,10.3130000000001,0.65,170,0
"396",91,18,10.3199999999997,0.4,180,1
"873",89,3,10.3520000000008,1,160,0
"158",91,7,10.3710000000001,0.1,190,1
"436",91,36,10.3900000000003,0.45,180,1
"635",90,43,10.4110000000001,0.7,170,0
"833",90,3,10.4169999999995,0.95,160,0
"159",91,10,10.4300000000003,0.1,190,0
"674",90,17,10.4459999999999,0.75,170,1
"198",91,18,10.4790000000003,0.15,190,1
"397",91,6,10.4889999999996,0.4,180,0
"476",90,9,10.5190000000002,0.5,180,1
"714",90,45,10.527,0.8,170,1
"437",90,13,10.5459999999998,0.45,180,0
"238",91,11,10.5589999999997,0.2,190,1
"199",91,11,10.5660000000003,0.15,190,0
"675",90,50,10.5660000000007,0.75,170,0
"278",91,24,10.6280000000002,0.25,190,1
"477",90,14,10.6369999999997,0.5,180,0
"516",91,34,10.6450000000004,0.55,180,1
"754",90,44,10.6750000000002,0.85,170,1
"755",90,78,10.7160000000003,0.85,170,0
"318",91,27,10.7190000000001,0.3,190,1
"715",90,10,10.7219999999998,0.8,170,0
"279",91,8,10.7220000000002,0.25,190,0
"517",90,27,10.7329999999993,0.55,180,0
"120",91,7,10.7719999999999,0.05,200,1
"556",90,4,10.7759999999998,0.6,180,1
"794",90,24,10.7860000000001,0.9,170,1
"319",91,15,10.7910000000002,0.3,190,0
"358",91,18,10.8000000000002,0.35,190,1
"239",91,23,10.8110000000001,0.2,190,0
"557",90,69,10.817,0.6,180,0
"160",91,10,10.8619999999996,0.1,200,1
"359",91,41,10.8670000000002,0.35,190,0
"795",90,22,10.884,0.9,170,0
"596",91,67,10.8919999999998,0.65,180,1
"834",89,15,10.8919999999998,0.95,170,1
"398",91,94,10.9069999999997,0.4,190,1
"121",91,7,10.9090000000001,0.05,200,0
"835",89,59,10.9259999999995,0.95,170,0
"874",90,73,10.9320000000007,1,170,1
"597",90,25,10.9439999999995,0.65,180,0
"200",91,10,10.982,0.15,200,1
"161",91,11,10.991,0.1,200,0
"636",90,83,11.0110000000004,0.7,180,1
"240",91,24,11.0419999999999,0.2,200,1
"399",90,7,11.047,0.4,190,0
"438",90,16,11.0770000000002,0.45,190,1
"875",90,13,11.0800000000008,1,170,0
"676",90,28,11.1089999999995,0.75,180,1
"439",90,17,11.1239999999998,0.45,190,0
"478",91,43,11.1320000000001,0.5,190,1
"637",90,8,11.1329999999998,0.7,180,0
"201",91,15,11.1460000000002,0.15,200,0
"716",90,69,11.1900000000005,0.8,180,1
"518",90,13,11.2089999999998,0.55,190,1
"280",91,11,11.2180000000003,0.25,200,1
"677",90,25,11.223,0.75,180,0
"479",91,42,11.239,0.5,190,0
"241",91,11,11.25,0.2,200,0
"320",91,6,11.2869999999998,0.3,200,1
"756",90,65,11.3099999999995,0.85,180,1
"717",90,16,11.3139999999994,0.8,180,0
"321",91,8,11.3619999999996,0.3,200,0
"360",91,34,11.3679999999999,0.35,200,1
"281",91,22,11.3759999999997,0.25,200,0
"558",91,99,11.3769999999995,0.6,190,1
"519",91,95,11.4089999999997,0.55,190,0
"796",90,75,11.424,0.9,180,1
"836",90,58,11.4470000000001,0.95,180,1
"757",90,10,11.4630000000006,0.85,180,0
"598",91,68,11.4840000000004,0.65,190,1
"559",91,37,11.4859999999999,0.6,190,0
"797",90,25,11.5259999999998,0.9,180,0
"400",90,5,11.538,0.4,200,1
"361",91,61,11.5500000000002,0.35,200,0
"401",91,19,11.5940000000001,0.4,200,0
"876",90,18,11.5960000000005,1,180,1
"440",91,32,11.625,0.45,200,1
"599",90,40,11.6279999999997,0.65,190,0
"837",89,10,11.6370000000006,0.95,180,0
"638",90,51,11.6530000000002,0.7,190,1
"678",90,9,11.7079999999996,0.75,190,1
"639",89,15,11.7160000000003,0.7,190,0
"877",90,64,11.7529999999997,1,180,0
"480",91,13,11.7710000000002,0.5,200,1
"441",90,12,11.777,0.45,200,0
"679",90,3,11.7970000000005,0.75,190,0
"481",90,6,11.8510000000001,0.5,200,0
"718",90,6,11.8710000000001,0.8,190,1
"758",90,24,11.9090000000006,0.85,190,1
"520",90,13,11.9290000000001,0.55,200,1
"719",89,7,11.9409999999998,0.8,190,0
"521",90,11,12.0100000000002,0.55,200,0
"798",90,75,12.018,0.9,190,1
"600",90,50,12.0289999999995,0.65,200,1
"560",90,9,12.0340000000006,0.6,200,1
"759",90,41,12.0389999999998,0.85,190,0
"561",91,65,12.107,0.6,200,0
"838",90,80,12.1349999999993,0.95,190,1
"799",89,4,12.201,0.9,190,0
"878",90,16,12.2049999999999,1,190,1
"601",90,35,12.2249999999995,0.65,200,0
"839",90,55,12.241,0.95,190,0
"640",90,28,12.2430000000004,0.7,200,1
"641",90,70,12.3240000000005,0.7,200,0
"879",89,1,12.3699999999999,1,190,0
"720",90,82,12.4090000000006,0.8,200,1
"680",91,75,12.4500000000007,0.75,200,1
"681",89,19,12.4960000000001,0.75,200,0
"760",90,54,12.5379999999996,0.85,200,1
"721",90,55,12.5530000000008,0.8,200,0
"761",90,50,12.6959999999999,0.85,200,0
"800",90,7,12.7429999999995,0.9,200,1
"801",89,1,12.7719999999999,0.9,200,0
"840",89,21,12.7920000000004,0.95,200,1
"880",90,82,12.866,1,200,1
"841",91,25,12.8960000000006,0.95,200,0
"881",91,59,13.1139999999996,1,200,0
